사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Sep,경부선,265,세마,222 ,2 ,1741 ,635 ,4121 ,1440 ,7395 ,2980 ,5607 ,5259 ,4114 ,1807 ,2754 ,1290 ,2310 ,1681 ,2442 ,1606 ,2740 ,2028 ,2434 ,2088 ,2555 ,1732 ,3088 ,2813 ,4104 ,3793 ,5006 ,6095 ,2076 ,5715 ,1451 ,3854 ,1546 ,3153 ,737 ,2580 ,352 ,1415 ,26 ,111 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,266,오산대,183 ,0 ,2021 ,651 ,4784 ,1960 ,8501 ,3704 ,5520 ,6745 ,3686 ,2709 ,2711 ,2387 ,2531 ,2294 ,2934 ,2323 ,3363 ,3599 ,3215 ,3034 ,3500 ,2090 ,4887 ,3376 ,5351 ,4672 ,6704 ,8148 ,3171 ,6034 ,2457 ,4062 ,2515 ,3541 ,1298 ,2316 ,648 ,1643 ,56 ,76 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,267,오산,487 ,4 ,4992 ,1504 ,12046 ,7919 ,17102 ,19698 ,15337 ,16608 ,11297 ,10511 ,10062 ,7881 ,10166 ,7362 ,11464 ,8971 ,10834 ,10023 ,10813 ,9508 ,11206 ,11490 ,14154 ,12876 ,19966 ,16444 ,22002 ,22041 ,12514 ,17787 ,9997 ,13894 ,7339 ,11049 ,4465 ,7040 ,1586 ,4288 ,43 ,255 ,1 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,268,진위,25 ,1 ,740 ,232 ,1291 ,2327 ,2130 ,5993 ,1874 ,6646 ,1385 ,1110 ,1004 ,1006 ,1052 ,876 ,1322 ,821 ,1242 ,963 ,1267 ,804 ,1587 ,976 ,2304 ,1187 ,5159 ,1435 ,7406 ,2064 ,2819 ,1845 ,1559 ,973 ,1105 ,1358 ,576 ,1054 ,171 ,481 ,7 ,41 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,269,송탄,126 ,4 ,6156 ,644 ,6715 ,2657 ,10737 ,4336 ,7427 ,6175 ,5476 ,3173 ,4980 ,2708 ,5034 ,3406 ,5120 ,3615 ,5236 ,3700 ,4622 ,4437 ,5074 ,4928 ,5995 ,5420 ,6522 ,7441 ,7850 ,8443 ,4633 ,10219 ,3336 ,6341 ,2837 ,6814 ,1458 ,5853 ,590 ,3047 ,24 ,320 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,270,서정리,58 ,0 ,2436 ,7611 ,6737 ,5890 ,9539 ,9563 ,8433 ,10671 ,5824 ,4424 ,5767 ,4348 ,6122 ,3915 ,7234 ,5229 ,6369 ,5774 ,6648 ,5290 ,6963 ,5054 ,9641 ,8766 ,15663 ,9438 ,14760 ,10273 ,8472 ,11076 ,5730 ,6980 ,3923 ,6503 ,1944 ,5498 ,911 ,3421 ,17 ,338 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,271,지제,8 ,0 ,840 ,1691 ,2256 ,4877 ,5096 ,7017 ,3778 ,4888 ,2139 ,2352 ,1896 ,1476 ,1908 ,2063 ,2820 ,2089 ,2079 ,1709 ,2380 ,1839 ,3481 ,2822 ,4155 ,2657 ,7515 ,2574 ,6599 ,4893 ,4487 ,3747 ,2607 ,2739 ,2647 ,2153 ,1854 ,1912 ,585 ,1074 ,0 ,52 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,272,평택,199 ,6 ,6260 ,2478 ,11512 ,7322 ,20359 ,13745 ,17428 ,17597 ,13479 ,14813 ,12854 ,11070 ,12758 ,13423 ,13924 ,13878 ,14831 ,14788 ,14765 ,15110 ,15643 ,15774 ,18789 ,18729 ,22684 ,21877 ,22988 ,25369 ,16690 ,20464 ,15704 ,14794 ,10579 ,11661 ,6999 ,8659 ,3114 ,5649 ,17 ,1022 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,273,성환,28 ,0 ,1594 ,714 ,2519 ,1936 ,4932 ,9597 ,4171 ,10309 ,3778 ,5027 ,3587 ,3603 ,4047 ,3931 ,4821 ,5722 ,5697 ,5291 ,5560 ,4452 ,5867 ,4029 ,7509 ,4588 ,12249 ,4939 ,9912 ,6073 ,4642 ,4539 ,4102 ,3897 ,2279 ,3920 ,1324 ,3102 ,591 ,2544 ,39 ,437 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,274,직산,76 ,1 ,393 ,234 ,1025 ,806 ,1381 ,1870 ,814 ,2628 ,839 ,676 ,768 ,687 ,659 ,678 ,692 ,776 ,743 ,801 ,729 ,598 ,995 ,650 ,919 ,870 ,1936 ,1001 ,2169 ,1201 ,925 ,1357 ,698 ,642 ,518 ,675 ,350 ,494 ,120 ,385 ,12 ,67 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,275,두정,1168 ,2 ,3801 ,708 ,7124 ,2225 ,10785 ,6017 ,8389 ,6963 ,5590 ,6523 ,5227 ,3876 ,5126 ,5373 ,5309 ,5897 ,6203 ,6975 ,6289 ,5796 ,6390 ,6070 ,7455 ,6912 ,9546 ,8931 ,9580 ,12672 ,6321 ,9447 ,5090 ,8790 ,4177 ,6240 ,3376 ,5574 ,1699 ,4237 ,17 ,1002 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,276,천안,1757 ,4 ,2467 ,627 ,4413 ,3429 ,7482 ,4326 ,5870 ,7242 ,6067 ,7338 ,6242 ,6749 ,6850 ,8073 ,6821 ,8016 ,7988 ,9591 ,8461 ,7252 ,8869 ,10032 ,9763 ,8281 ,9898 ,9395 ,10312 ,10884 ,7359 ,8361 ,5616 ,7384 ,4433 ,3712 ,2624 ,3491 ,1097 ,2006 ,7 ,1330 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,277,당정,23 ,0 ,3183 ,991 ,8797 ,2917 ,21206 ,7350 ,18389 ,13624 ,8448 ,4348 ,5694 ,3321 ,5518 ,3391 ,5789 ,3841 ,5842 ,4239 ,5072 ,4258 ,5360 ,5402 ,6389 ,6666 ,9194 ,10046 ,13021 ,15052 ,5621 ,16794 ,4094 ,9941 ,2947 ,8222 ,2095 ,6162 ,783 ,4378 ,51 ,843 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경부선,278,서동탄,1 ,0 ,1291 ,7 ,4344 ,582 ,8810 ,1492 ,3770 ,1573 ,1650 ,651 ,1246 ,592 ,1256 ,833 ,1236 ,949 ,1181 ,887 ,1064 ,1133 ,1372 ,1402 ,1458 ,1536 ,1681 ,2484 ,2227 ,3734 ,865 ,4939 ,721 ,2438 ,484 ,1533 ,363 ,1704 ,123 ,1006 ,4 ,704 ,1 ,2 ,0 ,0 ,0 ,0 
20-Sep,경부선,279,광명,0 ,0 ,18 ,2165 ,2239 ,3302 ,10418 ,3563 ,8174 ,2844 ,4555 ,2841 ,698 ,2109 ,2762 ,1369 ,3305 ,2111 ,2397 ,1777 ,2399 ,3710 ,2698 ,2297 ,7936 ,2768 ,1234 ,4030 ,5897 ,9557 ,5810 ,6032 ,1006 ,3262 ,3420 ,2154 ,1403 ,3143 ,289 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,293,개봉,1161 ,9 ,16892 ,5963 ,31948 ,10356 ,77179 ,14968 ,72700 ,21392 ,40110 ,16439 ,26763 ,12847 ,22870 ,15022 ,23428 ,18218 ,22867 ,17621 ,20889 ,21346 ,20184 ,26182 ,22988 ,31079 ,24900 ,49337 ,25311 ,83649 ,16162 ,61624 ,12248 ,35034 ,9959 ,30568 ,6406 ,21305 ,2491 ,12044 ,101 ,1984 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,294,오류동,826 ,5 ,10949 ,1834 ,16142 ,5012 ,42524 ,5707 ,42485 ,9639 ,21724 ,8489 ,14612 ,6850 ,12500 ,8323 ,13223 ,9423 ,13083 ,9739 ,11431 ,11237 ,11744 ,13870 ,12323 ,15209 ,12806 ,21371 ,12430 ,39083 ,7741 ,31816 ,5798 ,19685 ,4937 ,17689 ,3554 ,11717 ,1268 ,6907 ,90 ,1351 ,0 ,1 ,0 ,0 ,0 ,0 
20-Sep,경인선,295,역곡,1125 ,11 ,24465 ,3807 ,39686 ,9777 ,104929 ,12287 ,98356 ,24600 ,49094 ,20080 ,29900 ,17717 ,26583 ,18794 ,27501 ,20632 ,26297 ,22258 ,23676 ,24269 ,23434 ,27555 ,25266 ,39177 ,28822 ,55028 ,28255 ,98130 ,18586 ,83522 ,15523 ,45444 ,12888 ,40606 ,9711 ,29877 ,3935 ,17271 ,233 ,2230 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,296,부천,2730 ,17 ,32421 ,4777 ,37474 ,11189 ,92621 ,17980 ,90795 ,36954 ,49132 ,34253 ,35428 ,30906 ,35840 ,30840 ,38003 ,35591 ,37830 ,38240 ,35728 ,41186 ,37865 ,42774 ,40401 ,50033 ,44956 ,67682 ,49031 ,104551 ,32903 ,91544 ,27320 ,47806 ,25916 ,43480 ,19011 ,30325 ,8003 ,19616 ,521 ,3536 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,297,송내,1442 ,15 ,14136 ,8165 ,32733 ,14543 ,94364 ,27421 ,76420 ,67645 ,39078 ,35146 ,26310 ,18968 ,25976 ,17383 ,27364 ,19416 ,24874 ,21258 ,22943 ,21534 ,24540 ,23391 ,28558 ,29838 ,37035 ,45501 ,64025 ,77966 ,28002 ,74173 ,19288 ,39572 ,16413 ,34047 ,11293 ,25314 ,4923 ,14193 ,657 ,2933 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,298,부평,7491 ,83 ,18919 ,4803 ,31150 ,10557 ,73299 ,16515 ,67035 ,26922 ,34775 ,31282 ,28714 ,27226 ,29022 ,30188 ,31322 ,33838 ,31779 ,39643 ,32723 ,41799 ,34648 ,44512 ,39596 ,50823 ,45118 ,63092 ,44556 ,101379 ,34747 ,79191 ,33487 ,44941 ,31137 ,37738 ,22408 ,27574 ,10278 ,16897 ,1641 ,4578 ,0 ,1 ,0 ,0 ,0 ,0 
20-Sep,경인선,299,백운,157 ,2 ,6979 ,1604 ,12405 ,3072 ,25328 ,3950 ,22611 ,8038 ,12081 ,6114 ,8972 ,4841 ,8290 ,5618 ,8432 ,6502 ,7923 ,6710 ,7354 ,6948 ,7230 ,8686 ,7946 ,10348 ,8874 ,13240 ,8548 ,22647 ,4510 ,20163 ,3365 ,12357 ,2988 ,10262 ,1903 ,8075 ,974 ,5166 ,121 ,1320 ,0 ,1 ,0 ,0 ,0 ,0 
20-Sep,경인선,300,동암,717 ,5 ,18830 ,5190 ,26438 ,9191 ,47868 ,13612 ,45078 ,16261 ,25372 ,11955 ,18105 ,11429 ,16647 ,12940 ,17365 ,13634 ,17249 ,14598 ,15666 ,14839 ,15413 ,19271 ,18495 ,22036 ,20728 ,32256 ,20450 ,46993 ,13511 ,42257 ,10640 ,27414 ,9430 ,23686 ,5615 ,17641 ,2777 ,10669 ,193 ,2581 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,301,주안,1048 ,10 ,12176 ,3749 ,21917 ,8296 ,54505 ,16051 ,44258 ,24857 ,26384 ,17351 ,19729 ,12753 ,19288 ,12540 ,21097 ,15658 ,21139 ,15155 ,20007 ,17365 ,20946 ,17308 ,24245 ,22216 ,30251 ,31245 ,32671 ,45659 ,18864 ,48551 ,15731 ,27653 ,14292 ,24072 ,9742 ,18915 ,4645 ,11767 ,358 ,3123 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,302,제물포,919 ,4 ,6684 ,1500 ,12047 ,4932 ,31214 ,10735 ,26122 ,20459 ,14023 ,10149 ,10523 ,7167 ,10556 ,6529 ,10783 ,8018 ,10561 ,8559 ,10360 ,8541 ,11070 ,8952 ,14975 ,11652 ,15636 ,16240 ,18666 ,22452 ,8065 ,23669 ,5706 ,14380 ,4267 ,12775 ,2838 ,9855 ,1340 ,6939 ,72 ,1953 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,303,동인천,1654 ,3 ,6707 ,2968 ,13574 ,10953 ,34952 ,19682 ,26015 ,28191 ,16475 ,13388 ,14155 ,13751 ,15174 ,14938 ,15827 ,14826 ,17019 ,16044 ,16911 ,14994 ,18642 ,15440 ,22662 ,18151 ,28877 ,20043 ,33065 ,26958 ,15633 ,29204 ,11152 ,16644 ,8325 ,12987 ,5119 ,11092 ,1832 ,7138 ,7 ,2157 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,304,인천,295 ,2 ,1272 ,955 ,2488 ,2914 ,4823 ,4471 ,4152 ,6022 ,2550 ,2778 ,2515 ,3484 ,3196 ,4962 ,4489 ,5704 ,5439 ,5740 ,6468 ,6032 ,6884 ,4998 ,8335 ,4174 ,10137 ,3566 ,9216 ,2985 ,4920 ,2349 ,3798 ,1797 ,2721 ,1462 ,1508 ,1053 ,496 ,679 ,3 ,560 ,1 ,6 ,0 ,0 ,0 ,0 
20-Sep,경인선,305,구일,269 ,17 ,3322 ,1458 ,8372 ,3130 ,22264 ,6726 ,20265 ,9601 ,9613 ,5262 ,6573 ,3565 ,6125 ,3650 ,6312 ,4622 ,6270 ,5187 ,6082 ,5501 ,6150 ,6799 ,7082 ,7997 ,8029 ,11128 ,9092 ,22954 ,4486 ,18071 ,3184 ,9544 ,3195 ,7910 ,2308 ,5325 ,762 ,3090 ,32 ,658 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,306,소사,1328 ,37 ,15789 ,2782 ,15485 ,5071 ,31300 ,7059 ,28183 ,10509 ,17007 ,7390 ,12623 ,7294 ,10783 ,7496 ,10828 ,8497 ,9920 ,9055 ,9171 ,9732 ,9229 ,10314 ,9548 ,13379 ,11726 ,18422 ,11016 ,28005 ,6500 ,24837 ,4750 ,13827 ,4067 ,14050 ,2770 ,9725 ,1100 ,6344 ,94 ,1174 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,307,부개,1841 ,47 ,8555 ,2659 ,14225 ,4318 ,33018 ,5088 ,25303 ,8841 ,13831 ,5764 ,10018 ,5100 ,9241 ,5690 ,8944 ,6488 ,8883 ,7554 ,8184 ,7525 ,7745 ,9243 ,9577 ,12022 ,9890 ,14367 ,9455 ,27098 ,5444 ,22053 ,3614 ,12662 ,3329 ,11940 ,2267 ,8201 ,1023 ,5461 ,163 ,1350 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,308,간석,308 ,4 ,4543 ,1080 ,9640 ,1882 ,20302 ,3397 ,16393 ,6995 ,9012 ,4130 ,6576 ,3623 ,6291 ,4573 ,5917 ,4939 ,6229 ,5421 ,5646 ,5673 ,6071 ,6137 ,6852 ,7457 ,6749 ,11117 ,7490 ,15608 ,4220 ,16114 ,3120 ,9221 ,2893 ,7759 ,2052 ,5846 ,1072 ,3827 ,98 ,1148 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,309,도원,578 ,5 ,2337 ,1016 ,3068 ,1652 ,5579 ,3694 ,4994 ,14539 ,3900 ,3320 ,3389 ,3145 ,3629 ,2978 ,3210 ,2994 ,3670 ,3487 ,3791 ,3482 ,4582 ,3750 ,8708 ,4291 ,6386 ,4472 ,6435 ,5183 ,2723 ,4751 ,1875 ,3199 ,1437 ,2817 ,747 ,1775 ,253 ,1492 ,12 ,690 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,310,온수(성공회대입구),291 ,5 ,5059 ,1302 ,7543 ,4087 ,21031 ,7489 ,19120 ,9978 ,11186 ,4737 ,8253 ,4904 ,7289 ,5110 ,7770 ,5718 ,7999 ,6126 ,7622 ,6407 ,7760 ,7240 ,9993 ,8949 ,9323 ,12138 ,9202 ,20136 ,4629 ,16931 ,3740 ,9405 ,3184 ,8204 ,2029 ,6336 ,911 ,3545 ,107 ,690 ,2 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,311,중동,824 ,10 ,9431 ,1331 ,14820 ,4657 ,36446 ,5906 ,28113 ,11414 ,14444 ,6876 ,9788 ,6435 ,9442 ,6474 ,9713 ,7634 ,9377 ,7829 ,8399 ,8811 ,8594 ,9611 ,9862 ,11529 ,10515 ,17228 ,11228 ,26536 ,6083 ,25829 ,4800 ,14524 ,3855 ,11623 ,2592 ,8593 ,1038 ,5062 ,119 ,1824 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경인선,312,도화,361 ,5 ,3292 ,743 ,5545 ,2374 ,12826 ,3359 ,10036 ,5555 ,6186 ,2873 ,4608 ,2667 ,4113 ,2780 ,4163 ,3450 ,4414 ,3511 ,3984 ,3789 ,3879 ,3789 ,4694 ,5473 ,5258 ,5832 ,5212 ,8052 ,2642 ,8250 ,1816 ,4890 ,1404 ,4087 ,797 ,3252 ,447 ,2166 ,22 ,980 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,128,이촌(국립중앙박물관),80 ,3 ,1143 ,520 ,3010 ,2014 ,6229 ,3936 ,7065 ,7186 ,5423 ,4261 ,4114 ,2584 ,3696 ,2343 ,4352 ,2825 ,4495 ,3044 ,4418 ,3065 ,4882 ,3348 ,6401 ,3884 ,8677 ,4535 ,8826 ,6607 ,5059 ,5254 ,3626 ,3436 ,3529 ,2838 ,2225 ,2469 ,856 ,1490 ,61 ,540 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,129,서빙고,42 ,0 ,867 ,568 ,1714 ,2764 ,2455 ,3874 ,2687 ,6779 ,2278 ,2678 ,1538 ,1238 ,1670 ,1211 ,1816 ,1400 ,2014 ,1393 ,2163 ,1386 ,2449 ,1607 ,3796 ,1867 ,5322 ,2117 ,6050 ,2735 ,2466 ,2211 ,1586 ,1350 ,1234 ,1233 ,703 ,923 ,307 ,677 ,59 ,172 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,130,한남,190 ,3 ,1915 ,681 ,2464 ,4359 ,4034 ,9685 ,5032 ,11777 ,4011 ,9760 ,3976 ,4733 ,4133 ,3587 ,4103 ,3832 ,4237 ,4750 ,5069 ,3621 ,6202 ,4391 ,7254 ,4432 ,12274 ,5442 ,12696 ,6481 ,6521 ,4670 ,4361 ,2669 ,4500 ,2882 ,2979 ,1810 ,1111 ,1159 ,43 ,441 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,131,옥수,0 ,0 ,0 ,15 ,1 ,69 ,27 ,15 ,44 ,192 ,26 ,20 ,17 ,107 ,9 ,137 ,12 ,48 ,11 ,17 ,22 ,33 ,17 ,28 ,221 ,13 ,261 ,17 ,31 ,31 ,251 ,10 ,24 ,3 ,19 ,6 ,27 ,2 ,13 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,132,응봉,132 ,0 ,1118 ,288 ,2225 ,1082 ,5319 ,1525 ,5930 ,2076 ,3449 ,1047 ,2265 ,966 ,1880 ,1159 ,1815 ,1302 ,2031 ,1575 ,1908 ,1811 ,2015 ,2154 ,2364 ,2644 ,2405 ,3256 ,2352 ,4362 ,1461 ,4301 ,1104 ,2086 ,886 ,1644 ,593 ,1374 ,236 ,746 ,18 ,250 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,133,왕십리(성동구청),943 ,6 ,5153 ,771 ,7147 ,4179 ,20966 ,9803 ,33735 ,18417 ,20873 ,12783 ,11928 ,12236 ,11655 ,13979 ,13908 ,15916 ,14560 ,17737 ,14975 ,17999 ,16998 ,20267 ,18945 ,23697 ,22413 ,32867 ,24525 ,52336 ,17715 ,39811 ,17083 ,22467 ,19181 ,17790 ,13986 ,14089 ,5972 ,7924 ,262 ,3341 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,134,청량리(서울시립대입구),1272 ,7 ,6229 ,925 ,6941 ,8501 ,23232 ,9919 ,23708 ,15484 ,19751 ,22076 ,17725 ,22644 ,15864 ,24786 ,20499 ,22353 ,19327 ,21825 ,22912 ,24714 ,23990 ,25917 ,22842 ,25693 ,25065 ,26847 ,22695 ,37407 ,17754 ,28665 ,19236 ,14580 ,7892 ,11841 ,6508 ,8402 ,2244 ,4649 ,77 ,1971 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,136,외대앞,560 ,12 ,4686 ,1437 ,7049 ,3062 ,15505 ,3302 ,18226 ,9296 ,11262 ,8423 ,8993 ,6706 ,8606 ,6789 ,9601 ,7622 ,9627 ,8139 ,9941 ,8322 ,10568 ,10377 ,11170 ,11122 ,12609 ,13832 ,10386 ,19468 ,7343 ,16797 ,5782 ,10127 ,5332 ,9548 ,4274 ,7814 ,1739 ,4937 ,51 ,932 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,137,신이문,1473 ,36 ,8212 ,1150 ,12361 ,2260 ,32718 ,4080 ,33245 ,6981 ,17983 ,4183 ,11982 ,5023 ,9883 ,6214 ,10042 ,6738 ,10119 ,7329 ,8869 ,8115 ,8561 ,11898 ,7980 ,13560 ,7687 ,17441 ,7413 ,28426 ,5133 ,23006 ,3040 ,13958 ,2438 ,11309 ,1785 ,8984 ,810 ,5049 ,39 ,778 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,138,석계,1112 ,7 ,5871 ,2056 ,9474 ,4566 ,21855 ,5079 ,25480 ,7492 ,16569 ,5882 ,12345 ,6150 ,10721 ,7071 ,10329 ,8104 ,10198 ,8686 ,9723 ,9796 ,9669 ,14169 ,9453 ,16151 ,10194 ,20931 ,9399 ,33989 ,6847 ,24869 ,5252 ,15172 ,4950 ,13478 ,3543 ,9262 ,1616 ,5498 ,60 ,968 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,139,광운대,2163 ,17 ,5372 ,1244 ,11094 ,2641 ,28730 ,4562 ,26054 ,8830 ,13125 ,6713 ,9603 ,5845 ,8122 ,6895 ,8704 ,7071 ,8883 ,7564 ,8728 ,8288 ,8288 ,9618 ,8808 ,11062 ,9578 ,14380 ,8700 ,22136 ,5169 ,19758 ,4154 ,11706 ,3772 ,9195 ,2971 ,7271 ,1273 ,6149 ,71 ,2528 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,140,월계,750 ,0 ,4954 ,1064 ,7917 ,2421 ,20255 ,6298 ,17218 ,7155 ,10832 ,4120 ,8368 ,4095 ,7291 ,4968 ,7615 ,5772 ,7136 ,6278 ,7219 ,5909 ,7293 ,7660 ,8721 ,9925 ,7386 ,10976 ,7286 ,16968 ,4149 ,15380 ,2989 ,8364 ,2512 ,7299 ,1665 ,5458 ,729 ,3267 ,36 ,738 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,141,녹천,966 ,7 ,3900 ,670 ,6904 ,1409 ,18239 ,2820 ,14708 ,4071 ,9171 ,1986 ,6458 ,2634 ,5203 ,3129 ,6360 ,3997 ,5335 ,3788 ,4578 ,3776 ,4678 ,5294 ,5341 ,6595 ,4696 ,7645 ,4246 ,12454 ,3018 ,11426 ,1741 ,6580 ,1574 ,5702 ,823 ,4190 ,385 ,2817 ,43 ,493 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,142,창동,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,358,방학,773 ,7 ,10452 ,1521 ,13236 ,5126 ,26955 ,7974 ,24659 ,17157 ,15210 ,8754 ,12393 ,8427 ,11075 ,8674 ,11374 ,9354 ,11641 ,9439 ,10836 ,11263 ,11223 ,13668 ,11461 ,15855 ,12500 ,16646 ,15583 ,25518 ,8291 ,23233 ,5782 ,11946 ,4512 ,10787 ,3145 ,7312 ,1083 ,4512 ,89 ,1489 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,359,도봉,366 ,18 ,6753 ,1276 ,8468 ,2816 ,17202 ,4046 ,16271 ,9022 ,10736 ,6874 ,8951 ,7050 ,8138 ,6086 ,7091 ,6479 ,8078 ,7062 ,8118 ,7272 ,7989 ,9028 ,7617 ,10096 ,8482 ,10617 ,9014 ,15070 ,4453 ,13885 ,2884 ,7651 ,2317 ,6513 ,1482 ,4815 ,573 ,2763 ,68 ,973 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,360,도봉산,284 ,5 ,5634 ,938 ,8526 ,2541 ,20552 ,4213 ,19111 ,6785 ,11721 ,9668 ,9539 ,13703 ,9396 ,10710 ,10734 ,11881 ,13061 ,9538 ,14796 ,9082 ,17263 ,8204 ,18539 ,7783 ,16393 ,7040 ,13361 ,8689 ,8125 ,7685 ,4712 ,4418 ,3032 ,3693 ,1754 ,3109 ,572 ,1892 ,38 ,857 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,361,망월사,418 ,9 ,7000 ,979 ,11081 ,3056 ,22489 ,3508 ,21663 ,10202 ,12139 ,8089 ,9619 ,6782 ,8787 ,6101 ,8936 ,8830 ,8838 ,7397 ,8475 ,8503 ,8804 ,9333 ,8711 ,11560 ,8826 ,14009 ,8652 ,20500 ,4497 ,20188 ,3372 ,11414 ,2914 ,9608 ,2201 ,7293 ,760 ,4137 ,110 ,1395 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,362,회룡,1120 ,19 ,12527 ,2033 ,22965 ,5193 ,48458 ,7444 ,38864 ,10855 ,21783 ,9200 ,16321 ,8974 ,14951 ,9103 ,14988 ,11857 ,14078 ,11892 ,12330 ,13409 ,11876 ,14996 ,11235 ,19526 ,11387 ,23803 ,10295 ,37111 ,6679 ,36673 ,5075 ,19572 ,4182 ,16980 ,2928 ,11925 ,1025 ,6434 ,104 ,2361 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,경원선,363,의정부,2270 ,14 ,9072 ,2147 ,19716 ,7634 ,39300 ,13074 ,35635 ,29378 ,20335 ,27883 ,17391 ,21597 ,19444 ,20363 ,20953 ,21548 ,21348 ,26348 ,22259 ,25381 ,24189 ,24489 ,26525 ,25803 ,30126 ,30335 ,33836 ,42687 ,22369 ,40182 ,22294 ,23457 ,14502 ,20635 ,10920 ,13883 ,3747 ,8664 ,268 ,3552 ,0 ,0 ,0 ,0 ,0 ,0 
