사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Sep,2호선,12,을지로입구,133 ,1 ,1827 ,1852 ,2628 ,22603 ,6368 ,104009 ,9923 ,230715 ,11084 ,115912 ,13022 ,51365 ,18900 ,40113 ,22565 ,32693 ,29465 ,33117 ,35379 ,29163 ,45351 ,26419 ,54350 ,25104 ,119239 ,27398 ,194907 ,28785 ,83462 ,15385 ,75234 ,8393 ,43911 ,7478 ,23076 ,5399 ,6435 ,3622 ,1 ,1888 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,13,을지로3가,8 ,0 ,811 ,1381 ,1830 ,15087 ,4077 ,56936 ,6731 ,123530 ,7086 ,53677 ,8097 ,22788 ,10791 ,16701 ,11491 ,14981 ,14438 ,17135 ,17662 ,15341 ,22149 ,13569 ,27504 ,13151 ,61852 ,14054 ,105288 ,15323 ,42397 ,8497 ,26603 ,4461 ,24358 ,3404 ,16469 ,2471 ,6695 ,1552 ,4 ,162 ,2 ,2 ,1 ,1 ,0 ,0 
20-Sep,2호선,14,을지로4가,6 ,0 ,878 ,1002 ,1490 ,10705 ,2465 ,27193 ,4287 ,66233 ,5657 ,39720 ,7622 ,20881 ,10902 ,18090 ,13044 ,15833 ,13927 ,14957 ,17167 ,14707 ,19897 ,12610 ,24054 ,10377 ,41320 ,9212 ,59595 ,7795 ,28323 ,4535 ,13566 ,2236 ,10758 ,1933 ,6010 ,1443 ,2029 ,924 ,2 ,93 ,0 ,1 ,0 ,0 ,0 ,0 
20-Sep,2호선,15,동대문역사문화공원(DDP),250 ,0 ,7229 ,840 ,4575 ,6663 ,5452 ,18938 ,7857 ,45260 ,7194 ,24766 ,7454 ,19126 ,10246 ,19008 ,10946 ,15432 ,12449 ,16569 ,15392 ,16615 ,19344 ,14796 ,24293 ,13838 ,30670 ,14688 ,34356 ,17186 ,21430 ,20979 ,15370 ,12106 ,16139 ,8764 ,10158 ,6009 ,4048 ,5028 ,5 ,344 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,16,신당,26 ,1 ,5569 ,1130 ,10300 ,7390 ,22792 ,16196 ,35264 ,32283 ,21290 ,20012 ,14566 ,15488 ,14336 ,15453 ,15729 ,15202 ,16766 ,16400 ,17366 ,17163 ,18228 ,17724 ,20286 ,20498 ,24012 ,26361 ,30269 ,36050 ,19110 ,24724 ,13760 ,15042 ,11251 ,14245 ,7975 ,10040 ,3122 ,6806 ,1 ,70 ,1 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,17,상왕십리,56 ,0 ,5333 ,477 ,10982 ,4616 ,32144 ,10641 ,47989 ,31519 ,25995 ,15744 ,14827 ,10522 ,13663 ,9520 ,14225 ,10568 ,14560 ,11951 ,14018 ,12171 ,15095 ,13403 ,15182 ,16827 ,19042 ,24816 ,24010 ,41902 ,14760 ,28495 ,9570 ,16588 ,8412 ,16794 ,5792 ,12017 ,1815 ,7823 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,18,왕십리(성동구청),858 ,6 ,6232 ,696 ,8398 ,4423 ,21836 ,10473 ,36677 ,25098 ,21983 ,14971 ,13946 ,10680 ,14330 ,10986 ,16382 ,12337 ,16915 ,13445 ,16997 ,13912 ,18807 ,15291 ,22458 ,17587 ,26588 ,24522 ,31932 ,40939 ,19305 ,26753 ,17830 ,15389 ,19067 ,13611 ,15208 ,10495 ,7619 ,7583 ,62 ,111 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,19,한양대,1 ,0 ,858 ,275 ,2031 ,5178 ,4568 ,9979 ,7083 ,30036 ,4754 ,21352 ,4130 ,13570 ,5385 ,8420 ,6254 ,9754 ,6667 ,10567 ,7651 ,9520 ,9199 ,7106 ,13281 ,6622 ,22542 ,6901 ,22529 ,8046 ,10975 ,4968 ,8440 ,3853 ,8599 ,3566 ,6878 ,2791 ,3051 ,2002 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,20,뚝섬,29 ,1 ,3447 ,2083 ,7187 ,13290 ,16678 ,29231 ,23434 ,111969 ,13757 ,64084 ,10363 ,24125 ,10524 ,17056 ,13080 ,18252 ,14921 ,20271 ,17488 ,18950 ,20530 ,19331 ,26100 ,20565 ,43627 ,23922 ,97330 ,33071 ,47398 ,20857 ,27544 ,11244 ,23529 ,9579 ,14280 ,7119 ,4485 ,4821 ,2 ,19 ,0 ,0 ,0 ,0 ,0 ,0 
20-Sep,2호선,21,성수,38 ,1 ,5021 ,3017 ,8702 ,25508 ,20426 ,64643 ,26438 ,228814 ,20130 ,105432 ,15838 ,34622 ,16620 ,26424 ,19077 ,26599 ,23492 ,29387 ,26302 ,27177 ,30906 ,29171 ,40067 ,28667 ,82631 ,31930 ,178149 ,41911 ,76427 ,26418 ,41906 ,13965 ,38809 ,12135 ,23317 ,9489 ,6768 ,7444 ,4 ,2512 ,1 ,0 ,0 ,1 ,0 ,0 
